len,world,iter,time
1000000000,1,0,604.0935516357422
1000000000,1,1,602.8764247894287
1000000000,1,2,602.818489074707
1000000000,1,3,602.7624607086182
1000000000,2,0,459.62023735046387
1000000000,2,1,294.30699348449707
1000000000,2,2,293.98655891418457
1000000000,2,3,294.1241264343262
1000000000,4,0,220.95584869384766
1000000000,4,1,151.62205696105957
1000000000,4,2,151.84426307678223
1000000000,4,3,152.14276313781738
1000000000,8,0,103.71947288513184
1000000000,8,1,78.7503719329834
1000000000,8,2,77.62336730957031
1000000000,8,3,77.35991477966309
1000000000,16,0,111.29641532897949
1000000000,16,1,41.9466495513916
1000000000,16,2,39.61443901062012
1000000000,16,3,44.910430908203125
1000000000,32,0,39.87622261047363
1000000000,32,1,19.279003143310547
1000000000,32,2,19.301652908325195
1000000000,32,3,19.41394805908203
1000000000,64,0,37.26005554199219
1000000000,64,1,12.966632843017578
1000000000,64,2,10.92219352722168
1000000000,64,3,10.372638702392578
1000000000,128,0,39.422035217285156
1000000000,128,1,7.215738296508789
1000000000,128,2,6.489992141723633
1000000000,128,3,5.773305892944336
1000000000,256,0,9.803295135498047
1000000000,256,1,6.200075149536133
1000000000,256,2,3.9854049682617188
1000000000,256,3,3.9107799530029297
1000000000,512,0,27.64606475830078
1000000000,512,1,4.55021858215332
1000000000,512,2,4.313468933105469
1000000000,512,3,4.339694976806641
# 
1000000000,1,0,1184.1566562652588
1000000000,1,0,1218.8737392425537
1000000000,1,1,1219.0253734588623
1000000000,1,2,1218.6238765716553
1000000000,1,3,1218.9912796020508
1000000000,2,0,813.8940334320068
1000000000,2,1,610.0459098815918
1000000000,2,2,610.3339195251465
1000000000,2,3,609.865665435791
1000000000,4,0,492.0973777770996
1000000000,4,1,302.5245666503906
1000000000,4,2,302.44898796081543
1000000000,4,3,305.96041679382324
1000000000,8,0,300.80604553222656
1000000000,8,1,151.05533599853516
1000000000,8,2,157.928466796875
1000000000,8,3,151.81994438171387
1000000000,16,0,182.9202175140381
1000000000,16,1,76.23744010925293
1000000000,16,2,75.40726661682129
1000000000,16,3,82.31329917907715
1000000000,32,0,65.2470588684082
1000000000,32,1,38.500308990478516
1000000000,32,2,44.12245750427246
1000000000,32,3,41.378021240234375
1000000000,64,0,48.48003387451172
1000000000,64,1,19.96636390686035
1000000000,64,2,19.912242889404297
1000000000,64,3,19.826412200927734
1000000000,128,0,11.206626892089844
1000000000,128,1,10.688543319702148
1000000000,128,2,10.946989059448242
1000000000,128,3,11.045455932617188
1000000000,256,0,10.305643081665039
1000000000,256,1,8.098602294921875
1000000000,256,2,8.153200149536133
1000000000,256,3,7.976770401000977
1000000000,512,0,19.022703170776367
1000000000,512,1,11.565208435058594
1000000000,512,2,8.012533187866211
1000000000,512,3,7.981061935424805
